#Item	Label	Description	Site on enwiki
Q2325641	Adwick railway station		Adwick railway station
Q2347117	Bentley railway station		Bentley (South Yorkshire) railway station
Q4890466	Bentley Crossing Halt		Bentley Crossing Halt
Q5295482	Doncaster (York Road) railway station		Doncaster (York Road) railway station
Q5646021	Hampole railway station		Hampole railway station
Q7190768	Pickburn and Brodsworth railway station		Pickburn and Brodsworth railway station
Q7581344	Sprotborough (H&B) railway station		Sprotborough (H&B) railway station
