#Item	Label	Description	Site on enwiki
Q2325641	Adwick railway station		Adwick railway station
Q2347117	Bentley railway station		Bentley (South Yorkshire) railway station
Q2565782	Doncaster railway station		Doncaster railway station
Q4792043	Arksey railway station		Arksey railway station
Q4890466	Bentley Crossing Halt		Bentley Crossing Halt
Q5295480	Doncaster (St. James' Bridge) railway station		Doncaster (St. James' Bridge) railway station
Q5295481	Doncaster (Cherry Tree Lane) railway station		Doncaster (Cherry Tree Lane) railway station
Q5295482	Doncaster (York Road) railway station		Doncaster (York Road) railway station
Q5338789	Edlington railway station		Edlington railway station
Q7190768	Pickburn and Brodsworth railway station		Pickburn and Brodsworth railway station
Q7581344	Sprotborough (H&B) railway station		Sprotborough (H&B) railway station
Q7581345	Sprotborough (SYR) railway station		Sprotborough (SYR) railway station
Q7969650	Warmsworth railway station		Warmsworth railway station
Q15223809	Hexthorpe railway platform		Hexthorpe railway platform
