#Item	Label	Description	Site on enwiki
Q2325641	Adwick railway station		Adwick railway station
Q2431458	South Elmsall railway station		South Elmsall railway station
Q4807178	Askern railway station		Askern railway station
Q5646021	Hampole railway station		Hampole railway station
Q6415525	Kirk Smeaton railway station		Kirk Smeaton railway station
Q7060573	Norton (South Yorkshire) railway station		Norton (South Yorkshire) railway station
Q15255986	Moorhouse and South Elmsall Halt		Moorhouse and South Elmsall Halt railway station
