#Item	Label	Description	Site on enwiki
Q4769544	Annitsford railway station		Annitsford railway station
Q4890591	Benton	metro station in Tyne & Wear	Benton Metro station
Q5021911	Callerton Parkway	metro station in Tyne & Wear	Callerton Parkway Metro station
Q5438738	Fawdon	Metro station in Tyne & Wear	Fawdon Metro station
Q5475273	Four Lane Ends	metro station in Tyne & Wear	Four Lane Ends Interchange
Q5997749	Ilford Road	metro station in Tyne & Wear	Ilford Road Metro station
Q6392072	Kenton Bank railway station		Kenton Bank railway station
Q6413575	Kingston Park	metro station in Tyne & Wear	Kingston Park Metro station
Q6673608	Longbenton	metro station in Tyne & Wear	Longbenton Metro station
Q7308079	Regent Centre	metro and bus station in Tyne & Wear	Regent Centre Interchange
Q7567374	South Gosforth	metro station in Tyne & Wear	South Gosforth Metro station
Q7968068	Wansbeck Road	metro station in Tyne & Wear	Wansbeck Road Metro station
