#Item	Label	Description	Site on enwiki
Q606903	Fiskerton railway station		Fiskerton railway station
Q1841218	Gainsborough Central railway station		Gainsborough Central railway station
Q2015746	Swinderby railway station		Swinderby railway station
Q2369236	Collingham railway station		Collingham railway station
Q2704279	Rolleston railway station		Rolleston railway station
Q2732092	Saxilby railway station		Saxilby railway station
Q2958045	Worksop railway station		Worksop railway station
Q3246476	Newark North Gate railway station		Newark North Gate railway station
Q4800289	Newark Castle railway station		Newark Castle railway station
Q4878729	Beckingham railway station		Beckingham railway station
Q4949437	Boughton railway station		Boughton (Nottinghamshire) railway station
Q5133157	Clifton-on-Trent railway station		Clifton-on-Trent railway station
Q5134409	Clipstone railway station		Clipstone railway station
Q5175562	Cottam railway station		Cottam railway station
Q5259666	Retford railway station		Retford railway station
Q5287782	Doddington and Harby railway station		Doddington and Harby railway station
Q5346954	Edwinstowe railway station		Edwinstowe railway station
Q5458355	Fledborough railway station		Fledborough railway station
Q5517296	Gainsborough Lea Road railway station		Gainsborough Lea Road railway station
Q6508248	Lea railway station		Lea railway station
Q7088292	Ollerton railway station		Ollerton railway station
Q7534477	Skellingthorpe railway station		Skellingthorpe railway station
Q7620669	Stow Park railway station		Stow Park railway station
Q7796678	Thorpe-on-the-Hill railway station		Thorpe-on-the-Hill railway station
Q7825892	Torksey railway station		Torksey railway station
Q7857202	Tuxford Central railway station		Tuxford Central railway station
Q7970944	Warsop railway station		Warsop railway station
Q15215306	Dukeries Junction railway station		Dukeries Junction railway station
