#Item	Label	Description	Site on enwiki
Q606903	Fiskerton railway station		Fiskerton railway station
Q2015746	Swinderby railway station		Swinderby railway station
Q2129974	Hykeham railway station		Hykeham railway station
Q2333610	Thurgarton railway station		Thurgarton railway station
Q2369236	Collingham railway station		Collingham railway station
Q2460860	Bleasby railway station		Bleasby railway station
Q2704279	Rolleston railway station		Rolleston railway station
Q2732092	Saxilby railway station		Saxilby railway station
Q3246476	Newark North Gate railway station		Newark North Gate railway station
Q4800289	Newark Castle railway station		Newark Castle railway station
Q4949437	Boughton railway station		Boughton (Nottinghamshire) railway station
Q4953235	Bracebridge railway station		Bracebridge railway station
Q5055446	Caythorpe railway station		Caythorpe railway station
Q5130127	Claypole railway station		Claypole railway station
Q5133157	Clifton-on-Trent railway station		Clifton-on-Trent railway station
Q5175350	Cotham railway station		Cotham railway station
Q5175562	Cottam railway station		Cottam railway station
Q5287782	Doddington and Harby railway station		Doddington and Harby railway station
Q5346954	Edwinstowe railway station		Edwinstowe railway station
Q5458355	Fledborough railway station		Fledborough railway station
Q5659659	Harmston railway station		Harmston railway station
Q5912879	Hougham railway station		Hougham railway station
Q6508467	Leadenham railway station		Leadenham railway station
Q6551021	Lincoln St. Marks railway station		Lincoln St. Marks railway station
Q6693095	Lowdham railway station		Lowdham railway station
Q6982261	Navenby railway station		Navenby railway station
Q7088292	Ollerton railway station		Ollerton railway station
Q7534477	Skellingthorpe railway station		Skellingthorpe railway station
Q7796678	Thorpe-on-the-Hill railway station		Thorpe-on-the-Hill railway station
Q7825892	Torksey railway station		Torksey railway station
Q7857202	Tuxford Central railway station		Tuxford Central railway station
Q7958995	Waddington railway station		Waddington railway station
Q15215306	Dukeries Junction railway station		Dukeries Junction railway station
