#Item	Label	Description	Site on enwiki
Q2007937	Cramlington railway station		Cramlington railway station
Q2495528	Pegswood railway station		Pegswood railway station
Q2534198	Morpeth railway station		Morpeth railway station
Q2572775	Widdrington railway station		Widdrington railway station
Q3517520	Acklington railway station		Acklington railway station
Q4698923	Airport	metro station serving Newcastle Airport	Airport Metro station (Tyne and Wear)
Q4763144	Angerton railway station		Angerton railway station
Q4769544	Annitsford railway station		Annitsford railway station
Q4805108	Ashington railway station		Ashington railway station
Q4839856	Backworth railway station		Backworth railway station
Q4890591	Benton	metro station in Tyne & Wear	Benton Metro station
Q4930868	Blyth railway station		Blyth railway station
Q4968409	Brinkburn railway station		Brinkburn railway station
Q5021911	Callerton Parkway	metro station in Tyne & Wear	Callerton Parkway Metro station
Q5419021	Ewesley railway station		Ewesley railway station
Q5438738	Fawdon	Metro station in Tyne & Wear	Fawdon Metro station
Q5465155	Fontburn Halt railway station		Fontburn Halt railway station
Q5475273	Four Lane Ends	metro station in Tyne & Wear	Four Lane Ends Interchange
Q5997749	Ilford Road	metro station in Tyne & Wear	Ilford Road Metro station
Q6392072	Kenton Bank railway station		Kenton Bank railway station
Q6413575	Kingston Park	metro station in Tyne & Wear	Kingston Park Metro station
Q6423204	Knowesgate railway station		Knowesgate railway station
Q6673608	Longbenton	metro station in Tyne & Wear	Longbenton Metro station
Q6674495	Longwitton railway station		Longwitton railway station
Q6812104	Meldon railway station		Meldon railway station
Q7059817	Northumberland Park	metro station in Tyne & Wear	Northumberland Park Metro station
Q7128339	Palmersville	metro station in Tyne & Wear	Palmersville Metro station
Q7308079	Regent Centre	metro and bus station in Tyne & Wear	Regent Centre Interchange
Q7370398	Rothbury railway station		Rothbury railway station
Q7435801	Scotsgap railway station		Scotsgap railway station
Q7498547	Shiremoor	metro station in Tyne & Wear	Shiremoor Metro station
Q7567374	South Gosforth	metro station in Tyne & Wear	South Gosforth Metro station
Q7600132	Stannington railway station		Stannington railway station
Q7968068	Wansbeck Road	metro station in Tyne & Wear	Wansbeck Road Metro station
Q15253343	Middleton North railway station		Middleton North railway station
