#Item	Label	Description	Site on enwiki
Q2164645	Drem railway station		Drem railway station
Q2182720	Longniddry railway station		Longniddry railway station
Q2192212	North Berwick railway station		North Berwick railway station
Q4667118	Aberlady railway station		Aberlady railway station
Q4667119	Aberlady, Gullane and North Berwick Railway		Aberlady, Gullane and North Berwick Railway
Q4770792	Anstruther railway station		Anstruther railway station
Q5257092	Dunbar railway station		Dunbar railway station
Q5280904	Dirleton railway station		Dirleton railway station
Q5328845	East Linton railway station		East Linton railway station
Q5617765	Gullane railway station		Gullane railway station
Q6699621	Luffness Platform railway station		Luffness Platform railway station
Q8021293	Williamstown (East Lothian) railway station		Williamstown (East Lothian) railway station
