#Item	Label	Description	Site on enwiki
Q580151	Oakham railway station		Oakham railway station
Q2661650	Stamford railway station		Stamford railway station
Q3296233	Melton Mowbray railway station		Melton Mowbray railway station
Q4496900	Grantham railway station		Grantham railway station
Q4806180	Ashwell railway station		Ashwell railway station
Q4848575	Bainton Gate railway station		Bainton Gate railway station
Q4861384	Barnack railway station		Barnack railway station
Q4950262	Bourne railway station		Bourne railway station
Q5050013	Castle Bytham railway station		Castle Bytham railway station
Q5169817	Corby Glen railway station		Corby Glen railway station
Q5259633	Denton railway station		Denton railway station (Lincolnshire)
Q5336997	Edenham railway station		Edenham railway station
Q5338968	Edmondthorpe and Wymondham railway station		Edmondthorpe and Wymondham railway station
Q5399469	Essendine railway station		Essendine railway station
Q5596617	Grantham Ambergate Yard railway station		Grantham Ambergate Yard railway station
Q5599800	Great Ponton railway station		Great Ponton railway station
Q6395574	Ketton and Collyweston railway station		Ketton and Collyweston railway station
Q6699610	Luffenham railway station		Luffenham railway station
Q6752161	Manton railway station		Manton railway station
Q6813794	Melton Mowbray North railway station		Melton Mowbray North railway station
Q6909562	Morcott railway station		Morcott railway station
Q6914939	Morton Road railway station		Morton Road railway station
Q7385059	Ryhall railway station		Ryhall railway station
Q7428770	Saxby railway station		Saxby railway station
Q7442029	Seaton railway station		Seaton railway station
Q7568956	South Witham railway station		South Witham railway station
Q7597004	Stainby railway station		Stainby railway station
Q7597388	Stamford East railway station		Stamford East railway station
Q7680135	Tallington railway station		Tallington railway station
Q7799312	Thurlby railway station		Thurlby railway station
Q7877522	Uffington and Barnack railway station		Uffington and Barnack railway station
Q7877527	Ufford Bridge railway station		Ufford Bridge railway station
Q7899096	Uppingham railway station		Uppingham railway station
Q7961128	Wakerley and Barrowden railway station		Wakerley and Barrowden railway station
Q7966590	Waltham-on-the-Wolds railway station		Waltham-on-the-Wolds railway station
Q7994007	Whissendine railway station		Whissendine railway station
Q8023323	Wilsthorpe Crossing Halt railway station		Wilsthorpe Crossing Halt railway station
Q15204096	Braceborough Spa Halt railway station		Braceborough Spa Halt railway station
Q15242493	Little Bytham railway station		Little Bytham railway station
