#Item	Label	Description	Site on enwiki
Q2424788	Thirsk railway station		Thirsk railway station
Q2537832	Northallerton railway station		Northallerton railway station
Q4697410	Ainderby railway station		Ainderby railway station
Q4850396	Baldersby railway station		Baldersby railway station
Q4878983	Bedale railway station		Bedale railway station
Q5179989	Coxwold railway station		Coxwold railway station
Q5181801	Crakehall railway station		Crakehall railway station
Q5450304	Finghall railway station		Finghall railway station
Q5949950	Husthwaite Gate railway station		Husthwaite Gate railway station
Q6185252	Jervaulx railway station		Jervaulx railway station
Q6516322	Leeming Bar railway station		Leeming Bar railway station
Q7439362	Scruton railway station		Scruton railway station
Q15264674	Otterington railway station		Otterington railway station
